Nume,Categorie,Tip_produs,Pret,Vanzare_ok,Achizitie_ok,Unitate,Unitate_achizitie,Taxe,Taxe_achizitie,Descriere
Dulceata de caise Razvan 220g,Dulceata,product,9,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,153
Dulceata de cirese amare Razvan 220g,Dulceata,product,22.9358,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,156
Dulceata de cirese galbene Razvan 220g,Dulceata,product,22.9358,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,158
Dulceata de cirese negre GR 200g - 933387,Dulceata,product,6,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,159
Dulceata de cirese negre Razvan 220g,Dulceata,product,9,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,160
Dulceata de coacaze negre GR 200g - 52484,Dulceata,product,8,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,162
Dulceata de coacaze negre Razvan 220g,Dulceata,product,8,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,163
Dulceata de mure GR 200g - 93391,Dulceata,product,5,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,167
Dulceata de prune 720g,Dulceata,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,168
Dulceata de visine 720g F,Dulceata,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,170
Dulceata mure 720g F-,Dulceata,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,174
Duo ciocolata neagra 70% cacao Antivirala si Imunitate Razvan mini 40g,Ciocolata,product,25.6881,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,175
Eticheta dulceata cirese negre mega image,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,178
Eticheta dulceata coacaze,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,179
Eticheta salata de vinete,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,180
Eticheta zacusca la ceaun - 00101,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,181
Eticheta magiun,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,182
Eticheta dulceata cirese negre,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,183
Eticheta miez nuca casoleta 200g,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,185
Eticheta mure 200g,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,186
Eticheta zacusca fata,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,187
Eticheta zacusca la ceaun,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,188
Eticheta zacusca spate,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,189
Etichete a3,Ambalaje,product,0,ok,ok,coli,coli,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,190
Etichete a4,Ambalaje,product,0,ok,ok,coli,coli,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,191
Etichete adezive A4*Crema alune,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,192
Etichete Brother 50 mm,Ambalaje,product,0,ok,ok,m,m,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,193
Etichete Brother 62 mm,Ambalaje,product,0,ok,ok,m,m,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,194
Etichete cirese negre 200g,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,195
Etichete coacaze negre 200g,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,196
Etichete Color Dulceata Borcan 220g,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,197
Etichete mure 200g,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,198
Etichete Spate Borcan 320g,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,199
Etichete zacusca fata,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,200
Etichete zacusca spate,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,201
Faina gr�u alba ECO 1kg,Fainoase,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,208
Faina gr�u integrala 1kg,Fainoase,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,209
Faina malai ECO 500g,Fainoase,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,210
Feteasca Neagra 2016 Galicea Mare,Bauturi alcoolice ,product,82.3529,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,213
Fistic granule,Nuci,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,216
Foi de dafin,Ingrediente,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,218
FRIZA ROS� 2018,Bauturi,product,32.7731,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,224
Gem de prune cu miez de nuca 720g F-,Dulceata,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,228
Gem de visine cu miez de nuca 720g F,Dulceata,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,230
Gem de visine cu miez de nuca Razvan 220g,Dulceata,product,9,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,231
Gorgandin Sauvignon Blanc 2016,Bauturi alcoolice ,product,45.3782,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,233
Gorgandin Traminer Aromatico,Bauturi alcoolice ,product,45.3782,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,234
Granola cu alune de padure si coacaze negre fara zahar 450g Native Box,Bacanie,product,32.1101,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,239
Granola cu caju si fulgi de cacao fara zahar 450g Native Box,Bacanie,product,32.1101,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,240
